id,name,stage,type,attribute,memory,equip slots,lv50 hp,lv50 sp,lv50 atk,lv50 def,lv50 int,lv50 spd
183,craniamon,mega,vaccine,earth,22,1,1630,143,124,208,134,124
184,kerpymon (good),mega,vaccine,light,20,1,1290,188,94,104,208,158
185,saberleomon,mega,data,wind,18,3,1680,99,228,104,84,163
186,sakuyamon,mega,data,light,18,3,990,178,94,114,188,173
187,jesmon,mega,data,neutral,22,1,1480,119,198,149,114,168
188,shinegreymon,mega,vaccine,light,20,2,1880,114,203,109,84,158
189,justimon,mega,vaccine,light,18,3,1530,99,193,158,99,144
190,kentaurosmon,mega,vaccine,light,22,1,1140,153,139,154,154,183
191,seraphimon,mega,vaccine,light,20,2,1480,162,94,144,198,135
192,megagargomon,mega,vaccine,electric,18,3,1430,132,149,139,119,144
193,tigervespamon,mega,virus,electric,18,3,1630,104,193,114,99,173
194,titamon,mega,virus,earth,18,3,1930,99,183,128,114,129
195,dianamon,mega,data,water,20,1,790,178,89,154,198,183
196,diaboromon,mega,free,dark,20,2,1680,114,243,104,79,173
197,creepymon,mega,virus,dark,22,1,1440,133,183,114,183,140
198,gallantmon,mega,virus,light,22,1,1480,148,149,154,149,148
199,dynasmon,mega,data,wind,22,1,1680,114,213,129,94,178
200,leopardmon,mega,data,light,22,1,990,188,124,114,183,188
201,leopardmon lm,mega,data,earth,25,1,1290,153,159,129,139,218
202,hiandromon,mega,vaccine,electric,18,3,1190,114,153,178,138,124
203,barbamon,mega,virus,dark,22,1,1330,184,84,129,233,133
204,bancholeomon,mega,vaccine,earth,18,3,1630,84,193,188,80,138
205,piedmon,mega,virus,dark,18,3,890,178,129,104,183,163
206,puppetmon,mega,virus,plant,18,3,1140,114,163,163,148,124
207,platinumnumemon,mega,virus,neutral,16,3,1830,132,94,178,109,120
208,blackwargreymon,mega,virus,fire,20,2,1730,93,183,178,89,140
209,princemamemon,mega,data,neutral,16,3,1630,137,104,173,109,130
210,plesiomon,mega,data,water,18,3,1680,153,74,114,188,129
211,herculeskabuterimon,mega,vaccine,plant,18,3,1680,128,114,168,124,124
212,beelzemon,mega,virus,dark,22,1,1680,114,228,119,99,168
213,belphemon sm,mega,virus,dark,22,1,1730,178,89,114,203,139
214,hououmon,mega,vaccine,fire,18,3,1390,173,84,99,193,158
215,magnadramon,mega,vaccine,light,20,2,1880,168,89,124,183,129
216,boltmon,mega,data,electric,18,3,1580,83,198,163,84,140
217,mastemon,mega,vaccine,neutral,22,1,1340,144,173,134,173,149
218,marineangemon,mega,vaccine,water,18,3,1190,198,64,89,203,153
219,minervamon,mega,virus,neutral,20,1,1580,114,208,114,119,168
220,miragegaogamon,mega,data,wind,18,3,1480,114,183,114,109,178
221,machinedramon,mega,virus,electric,18,3,1240,114,173,183,128,124
222,metaletemon,mega,virus,earth,18,3,1630,128,134,188,89,124
223,metalgarurumon,mega,data,water,18,3,1140,143,154,129,129,178
224,metalgarurumon (blk),mega,virus,electric,18,3,1190,128,163,173,133,130
225,metalseadramon,mega,data,water,18,3,1430,148,99,139,168,129
226,rusttyranomon,mega,virus,electric,18,3,1680,83,218,163,74,140
227,leviamon,mega,virus,water,22,1,1730,120,168,158,144,133
228,lilithmon,mega,virus,dark,22,1,940,203,99,104,223,173
229,ravemon,mega,vaccine,wind,18,3,1040,143,139,119,139,203
230,crusadermon,mega,virus,dark,22,1,1240,153,144,139,144,193
231,rosemon,mega,data,plant,18,3,1330,147,144,129,149,144
232,lotosmon,mega,data,plant,18,3,940,188,74,109,213,168
233,imperialdramon pm,ultra,vaccine,light,25,1,1530,158,154,154,154,153
234,omnimon,ultra,vaccine,light,25,1,1680,104,208,168,134,144
235,omnimon zwart,ultra,vaccine,dark,25,1,1490,139,153,193,158,134
236,belphemon rm,ultra,virus,dark,25,0,1780,84,247,168,109,140
237,lucemon sm,ultra,virus,dark,25,0,1490,173,89,124,233,158
238,flamedramon,armor,free,fire,8,3,1130,93,119,99,89,138
239,magnamon,armor,free,earth,22,2,1240,124,168,208,148,124
240,rapidmon (armor),armor,vaccine,light,18,3,1140,114,158,178,158,124
241,kerpymon (blk),mega,virus,dark,20,1,1290,188,94,94,223,153
242,beelzemon bm,mega,virus,dark,25,1,1680,114,238,124,104,178
243,darkdramon,mega,virus,electric,18,3,1580,94,188,148,99,139
244,chaosmon,ultra,vaccine,neutral,25,2,1080,129,318,94,89,188
245,valkyrimon,mega,free,wind,18,3,1330,139,148,129,129,168
246,shinegreymon bm,mega,vaccine,fire,22,2,1980,114,228,104,84,168
247,miragegaogamon bm,mega,data,light,20,2,1440,124,178,104,158,174
248,ravemon bm,mega,vaccine,wind,20,2,1040,133,149,139,144,213
249,rosemon bm,mega,data,plant,20,2,1480,143,149,139,159,143
